date_id,transaction_date,transaction_ts,transaction_id,customer_id,seq_no,product_id,channel,coupon_code,coupon_flag,unit_price_currency,quantity,unit_price,gross_amount,discount_percent,discount_amount,tax_amount,net_amount,net_amount_inr
20250801,2025-08-01,2025-08-01T06:27:03.000Z,643621,CUST000000043065,1,2000000160061,Website,prime5,1,INR,1,3344,3344,6,201,379,3522,3522
20250801,2025-08-01,2025-08-01T21:07:10.000Z,643636,CUST000000074149,3,2000000225067,Website,null,0,INR,1,6298,6298,18,1134,259,5423,5423
20250801,2025-08-01,2025-08-01T13:15:18.000Z,643647,CUST000000146421,1,2000000343594,Mobile,null,0,USD,1,22,22,22,5,3,20,1766
20250801,2025-08-01,2025-08-01T15:07:20.000Z,643653,CUST000000030247,1,2000000478913,Mobile,null,0,INR,1,6244,6244,3,188,1094,7150,7150
20250801,2025-08-01,2025-08-01T03:04:24.000Z,643658,CUST000000093993,1,2000000127804,Mobile,null,0,USD,1,60,60,10,6,7,61,5386
20250801,2025-08-01,2025-08-01T19:51:29.000Z,643669,CUST000000154154,2,2000000058986,Website,null,0,INR,1,1040,1040,25,260,95,875,875
20250801,2025-08-01,2025-08-01T02:12:31.000Z,643678,CUST000000187150,1,2000000250731,Website,null,0,INR,1,2673,2673,0,0,482,3155,3155
20250801,2025-08-01,2025-08-01T02:12:31.000Z,643678,CUST000000187150,2,2000000367095,Website,null,0,INR,1,72286,72286,6,4338,8179,76127,76127
20250801,2025-08-01,2025-08-01T18:45:58.000Z,643688,CUST000000126777,4,2000000107721,Website,prime5,1,AED,3,39,117,6,8,14,123,2975
20250801,2025-08-01,2025-08-01T19:58:37.000Z,643696,CUST000000216676,2,2000000402604,Mobile,new10,1,INR,1,77408,77408,14,10838,8009,74579,74579
20250801,2025-08-01,2025-08-01T22:45:08.000Z,643697,CUST000000062105,4,2000000192895,Website,prime5,1,INR,1,2374,2374,17,404,355,2325,2325
20250801,2025-08-01,2025-08-01T09:43:27.000Z,643724,CUST000000153992,2,2000000297750,Mobile,new10,1,CAD,1,777,777,11,86,84,775,48771
20250801,2025-08-01,2025-08-01T03:54:57.000Z,643727,CUST000000004780,1,2000000166742,Mobile,new10,1,INR,2,40836,81672,4,3267,9426,87831,87831
20250801,2025-08-01,2025-08-01T07:51:15.000Z,643732,CUST000000083784,2,2000000126630,Website,null,0,INR,1,73597,73597,2,1472,13043,85168,85168
20250801,2025-08-01,2025-08-01T18:52:31.000Z,643739,CUST000000077296,2,2000000009605,Mobile,null,0,USD,2,35,70,0,0,4,74,6534
20250801,2025-08-01,2025-08-01T10:06:51.000Z,643743,CUST000000052690,1,2000000257006,Website,null,0,USD,2,258,516,18,93,77,500,44145
20250801,2025-08-01,2025-08-01T17:15:17.000Z,643750,CUST000000037787,1,2000000384955,Website,new10,1,INR,1,59982,59982,15,8998,9172,60156,60156
20250801,2025-08-01,2025-08-01T00:32:14.000Z,643765,CUST000000266493,2,2000000284996,Website,null,0,INR,1,410,410,8,33,19,396,396
20250801,2025-08-01,2025-08-01T13:42:03.000Z,643780,CUST000000221017,1,2000000192512,Website,new10,1,INR,2,4368,8736,27,2359,319,6696,6696
20250801,2025-08-01,2025-08-01T20:31:02.000Z,643795,CUST000000068479,1,2000000167107,Website,null,0,INR,1,13930,13930,6,836,1565,14659,14659
20250801,2025-08-01,2025-08-01T17:17:19.000Z,643796,CUST000000048280,1,2000000460598,Website,null,0,GBP,1,53,53,6,4,3,52,6135
20250801,2025-08-01,2025-08-01T13:08:42.000Z,643813,CUST000000191813,1,2000000396026,Website,null,0,USD,2,103,206,13,27,22,201,17747
20250801,2025-08-01,2025-08-01T05:05:44.000Z,643815,CUST000000259182,1,2000000417301,Website,null,0,INR,1,32116,32116,0,0,1606,33722,33722
20250801,2025-08-01,2025-08-01T19:57:44.000Z,643818,CUST000000116614,1,2000000433950,Website,null,0,INR,2,2614,5228,27,1412,459,4275,4275
20250801,2025-08-01,2025-08-01T06:14:16.000Z,643829,CUST000000069228,2,2000000103235,Website,fest20,1,AED,1,65,65,16,11,3,57,1379
20250801,2025-08-01,2025-08-01T10:21:20.000Z,643875,CUST000000173437,1,2000000220697,Website,null,0,GBP,1,5,5,11,1,1,5,590
20250801,2025-08-01,2025-08-01T05:00:43.000Z,643876,CUST000000113438,2,2000000420387,Website,new10,1,INR,1,987,987,4,40,172,1119,1119
