product_id,sku,category_code,category_name,brand_code,brand_name,color,size,material,weight_grams,length_cm,width_cm,height_cm,rating_count,file_name,ingest_timestamp
2000000000015,STCR-HNK-00001,HNK,Home & Kitchen,STCR,SteelCraft,White,One-Size,Cotton,305,22.2,17.1,6.3,0,dbfs:/Volumes/ecommerce/source_data/raw/products/products.csv,2026-09-09T23:34:48.167Z
2000000000022,HMNS-HNK-00002,HNK,Home & Kitchen,HMNS,HomeNest,Silver,One-Size,Steel,682,18.2,12.3,3.7,1,dbfs:/Volumes/ecommerce/source_data/raw/products/products.csv,2026-09-09T23:34:48.167Z
2000000000039,NOVW-CE-00003,CE,Electronics,NOVW,NovaWave,Purple,One-Size,Wood,243,18.2,13.9,4.2,0,dbfs:/Volumes/ecommerce/source_data/raw/products/products.csv,2026-09-09T23:34:48.167Z
2000000000046,URTL-APP-00004,APP,Apparel,URTL,UrbanTrail,Silver,S,Rubber,225,17.6,4.6,5.8,50,dbfs:/Volumes/ecommerce/source_data/raw/products/products.csv,2026-09-09T23:34:48.167Z
2000000000053,GGRN-GRC-00005,GRCY,Grocery,GGRN,GoodGrain,Silver,One-Size,Rubber,455,27.2,15.8,7.4,4,dbfs:/Volumes/ecommerce/source_data/raw/products/products.csv,2026-09-09T23:34:48.167Z
2000000000060,SLKE-BPC-00006,BPC,Beauty & Personal Care,SLKE,SilkEssence,Purple,One-Size,Plastic,232,28,13.8,6.1,0,dbfs:/Volumes/ecommerce/source_data/raw/products/products.csv,2026-09-09T23:34:48.167Z
2000000000077,VOLT-CE-00007,CE,Electronics,VOLT,VoltEdge,Blue,One-Size,Plastic,507,27.2,12.1,6.4,5,dbfs:/Volumes/ecommerce/source_data/raw/products/products.csv,2026-09-09T23:34:48.167Z
2000000000084,CBLT-APP-00008,APP,Apparel,CBLT,CobaltWear,Blue,XS,Polyester,261,27.7,8.5,7,0,dbfs:/Volumes/ecommerce/source_data/raw/products/products.csv,2026-09-09T23:34:48.167Z
2000000000091,ARFT-SPT-00009,SPT,Sports & Outdoors,ARFT,AeroFit,Blue,XL,Plastic,59,12.5,19,7.9,11,dbfs:/Volumes/ecommerce/source_data/raw/products/products.csv,2026-09-09T23:34:48.167Z
2000000000107,MOSA-APP-0000A,APP,Apparel,MOSA,Mosaic,White,L,Polyester,238,10.7,17.7,10.3,6,dbfs:/Volumes/ecommerce/source_data/raw/products/products.csv,2026-09-09T23:34:48.167Z
2000000000114,CBLT-APP-0000B,APP,Apparel,CBLT,CobaltWear,Navy,XL,Glass,451,20.1,10.2,9.9,13,dbfs:/Volumes/ecommerce/source_data/raw/products/products.csv,2026-09-09T23:34:48.167Z
2000000000121,RKBR-TOY-0000C,TOY,Toys & Games,RKBR,RocketBear,White,One-Size,Cotton,432,10.2,13.1,11.9,10,dbfs:/Volumes/ecommerce/source_data/raw/products/products.csv,2026-09-09T23:34:48.167Z
2000000000138,GMFG-TOY-0000D,TOY,Toys & Games,GMFG,GameForge,White,One-Size,Aluminum,573,21.8,16.2,8.5,3,dbfs:/Volumes/ecommerce/source_data/raw/products/products.csv,2026-09-09T23:34:48.167Z
2000000000145,GRBK-GRC-0000E,GRCY,Grocery,GRBK,GreenBasket,Yellow,One-Size,Glass,435,35.2,10.8,5.7,1,dbfs:/Volumes/ecommerce/source_data/raw/products/products.csv,2026-09-09T23:34:48.167Z
2000000000152,DMLX-BPC-0000F,BPC,Beauty & Personal Care,DMLX,DermaLux,Silver,One-Size,Plastic,238,12.3,16.9,8.1,24,dbfs:/Volumes/ecommerce/source_data/raw/products/products.csv,2026-09-09T23:34:48.167Z
2000000000169,GGRN-GRC-0000G,GRCY,Grocery,GGRN,GoodGrain,Navy,One-Size,Steel,135,7.9,9.8,10.6,61,dbfs:/Volumes/ecommerce/source_data/raw/products/products.csv,2026-09-09T23:34:48.167Z
2000000000176,ZNTH-CE-0000H,CE,Electronics,ZNTH,Zenith,Yellow,One-Size,Wood,253,27,17.3,5.1,5,dbfs:/Volumes/ecommerce/source_data/raw/products/products.csv,2026-09-09T23:34:48.167Z
2000000000183,BTNQ-BPC-0000I,BPC,Beauty & Personal Care,BTNQ,Botaniq,Blue,One-Size,Cotton,477,25.2,10.4,10.3,2,dbfs:/Volumes/ecommerce/source_data/raw/products/products.csv,2026-09-09T23:34:48.167Z
2000000000190,SKYL-CE-0000J,CE,Electronics,SKYL,SkyLink,Green,One-Size,Plastic,193,32.5,12.6,9.6,0,dbfs:/Volumes/ecommerce/source_data/raw/products/products.csv,2026-09-09T23:34:48.167Z
2000000000206,GGRN-GRC-0000K,GRCY,Grocery,GGRN,GoodGrain,Beige,One-Size,Glass,76,13.8,20.3,7,1,dbfs:/Volumes/ecommerce/source_data/raw/products/products.csv,2026-09-09T23:34:48.167Z
2000000000213,ABLF-APP-0000L,APP,Apparel,ABLF,AmberLeaf,Navy,L,Steel,593,14.3,14.2,10.3,2,dbfs:/Volumes/ecommerce/source_data/raw/products/products.csv,2026-09-09T23:34:48.167Z
2000000000220,HRBC-BPC-0000M,BPC,Beauty & Personal Care,HRBC,HerbaCare,Beige,One-Size,Rubber,176,20.5,23.7,9.2,1,dbfs:/Volumes/ecommerce/source_data/raw/products/products.csv,2026-09-09T23:34:48.167Z
2000000000237,BTNQ-BPC-0000N,BPC,Beauty & Personal Care,BTNQ,Botaniq,Purple,One-Size,Wood,1089,4.4,11.2,9.8,0,dbfs:/Volumes/ecommerce/source_data/raw/products/products.csv,2026-09-09T23:34:48.167Z
2000000000244,GRBK-GRC-0000O,GRCY,Grocery,GRBK,GreenBasket,Silver,One-Size,Steel,190,27.6,19.3,9.1,0,dbfs:/Volumes/ecommerce/source_data/raw/products/products.csv,2026-09-09T23:34:48.167Z
2000000000251,PLCB-TOY-0000P,TOY,Toys & Games,PLCB,PlayCube,Black,One-Size,Polyester,210,28.8,16.1,10.4,0,dbfs:/Volumes/ecommerce/source_data/raw/products/products.csv,2026-09-09T23:34:48.167Z
2000000000268,RKBR-TOY-0000Q,TOY,Toys & Games,RKBR,RocketBear,Green,One-Size,Paper,159,35.3,17.3,2.6,1,dbfs:/Volumes/ecommerce/source_data/raw/products/products.csv,2026-09-09T23:34:48.167Z
2000000000275,KDLN-TOY-0000R,TOY,Toys & Games,KDLN,KiddoLand,Purple,One-Size,Leather,137,17.4,14.1,6.3,0,dbfs:/Volumes/ecommerce/source_data/raw/products/products.csv,2026-09-09T23:34:48.167Z
2000000000282,ACME-CE-0000S,CE,Electronics,ACME,AcmeTech,Navy,One-Size,Polyester,175,14.7,18.8,1.9,0,dbfs:/Volumes/ecommerce/source_data/raw/products/products.csv,2026-09-09T23:34:48.167Z
2000000000299,BTNQ-BPC-0000T,BPC,Beauty & Personal Care,BTNQ,Botaniq,Blue,One-Size,Polyester,351,32.3,11.5,9.2,2,dbfs:/Volumes/ecommerce/source_data/raw/products/products.csv,2026-09-09T23:34:48.167Z
2000000000305,TRBZ-SPT-0000U,SPT,Sports & Outdoors,TRBZ,TrailBlazer,Yellow,XS,Plastic,325,16.5,21.3,11.6,0,dbfs:/Volumes/ecommerce/source_data/raw/products/products.csv,2026-09-09T23:34:48.167Z
2000000000312,MOSA-APP-0000V,APP,Apparel,MOSA,Mosaic,White,One-Size,Plastic,55,15.8,8.2,8.5,0,dbfs:/Volumes/ecommerce/source_data/raw/products/products.csv,2026-09-09T23:34:48.167Z
2000000000329,TNGR-TOY-0000W,TOY,Toys & Games,TNGR,TinyGears,Silver,One-Size,Steel,687,25.6,11.3,7.8,7,dbfs:/Volumes/ecommerce/source_data/raw/products/products.csv,2026-09-09T23:34:48.167Z
2000000000336,AQPR-HNK-0000X,HNK,Home & Kitchen,AQPR,AquaPure,Pink,One-Size,Cotton,80,15.2,12,8.1,2,dbfs:/Volumes/ecommerce/source_data/raw/products/products.csv,2026-09-09T23:34:48.167Z
2000000000343,CSNV-HNK-0000Y,HNK,Home & Kitchen,CSNV,CasaNova,Black,One-Size,Polyester,308,14,19.8,8.3,0,dbfs:/Volumes/ecommerce/source_data/raw/products/products.csv,2026-09-09T23:34:48.167Z
2000000000350,PGTR-BKS-0000Z,BKS,Books,PGTR,PageTurner,null,One-Size,Cotton,452,16.5,10.3,2.8,8,dbfs:/Volumes/ecommerce/source_data/raw/products/products.csv,2026-09-09T23:34:48.167Z
2000000000367,PRSD-SPT-00010,SPT,Sports & Outdoors,PRSD,ProStride,Beige,L,Polyester,74,19.6,13.9,7.9,0,dbfs:/Volumes/ecommerce/source_data/raw/products/products.csv,2026-09-09T23:34:48.167Z
2000000000374,ZNTH-CE-00011,CE,Electronics,ZNTH,Zenith,Navy,One-Size,Leather,344,26,10.5,14.2,0,dbfs:/Volumes/ecommerce/source_data/raw/products/products.csv,2026-09-09T23:34:48.167Z
2000000000381,PRLV-HNK-00012,HNK,Home & Kitchen,PRLV,PureLiving,Pink,One-Size,Paper,166,10.4,21.8,8.1,0,dbfs:/Volumes/ecommerce/source_data/raw/products/products.csv,2026-09-09T23:34:48.167Z
2000000000398,AQPR-HNK-00013,HNK,Home & Kitchen,AQPR,AquaPure,Beige,One-Size,Aluminum,196,15,2,10.6,0,dbfs:/Volumes/ecommerce/source_data/raw/products/products.csv,2026-09-09T23:34:48.167Z
2000000000404,CSNV-HNK-00014,HNK,Home & Kitchen,CSNV,CasaNova,Navy,One-Size,Glass,155,11.3,20.4,10.6,0,dbfs:/Volumes/ecommerce/source_data/raw/products/products.csv,2026-09-09T23:34:48.167Z
2000000000411,ABLF-APP-00015,APP,Apparel,ABLF,AmberLeaf,White,S,Aluminum,97,4.7,16.7,8.1,0,dbfs:/Volumes/ecommerce/source_data/raw/products/products.csv,2026-09-09T23:34:48.167Z
2000000000428,PLCB-TOY-00016,TOY,Toys & Games,PLCB,PlayCube,Purple,One-Size,Rubber,253,13.4,13.4,7.8,3,dbfs:/Volumes/ecommerce/source_data/raw/products/products.csv,2026-09-09T23:34:48.167Z
2000000000435,PLCB-TOY-00017,TOY,Toys & Games,PLCB,PlayCube,White,One-Size,Cotton,760,27.5,8.2,6.3,0,dbfs:/Volumes/ecommerce/source_data/raw/products/products.csv,2026-09-09T23:34:48.167Z
2000000000442,CKMT-HNK-00018,HNK,Home & Kitchen,CKMT,CookMate,Blue,One-Size,Polyester,155,20.4,7.7,6.8,2,dbfs:/Volumes/ecommerce/source_data/raw/products/products.csv,2026-09-09T23:34:48.167Z
2000000000459,PRLV-HNK-00019,HNK,Home & Kitchen,PRLV,PureLiving,Navy,One-Size,Leather,118,21.4,12.4,9.5,3,dbfs:/Volumes/ecommerce/source_data/raw/products/products.csv,2026-09-09T23:34:48.167Z
2000000000466,STCR-HNK-0001A,HNK,Home & Kitchen,STCR,SteelCraft,Purple,One-Size,Paper,450,17.4,18,6.8,10,dbfs:/Volumes/ecommerce/source_data/raw/products/products.csv,2026-09-09T23:34:48.167Z
2000000000473,WRMH-HNK-0001B,HNK,Home & Kitchen,WRMH,WarmHearth,Yellow,One-Size,Wood,261,12.9,13.4,8.5,0,dbfs:/Volumes/ecommerce/source_data/raw/products/products.csv,2026-09-09T23:34:48.167Z
2000000000480,URTL-APP-0001C,APP,Apparel,URTL,UrbanTrail,Navy,L,Glass,437,13.2,12.4,6.6,4,dbfs:/Volumes/ecommerce/source_data/raw/products/products.csv,2026-09-09T23:34:48.167Z
2000000000497,QLHS-BKS-0001D,BKS,Books,QLHS,QuillHouse,null,One-Size,Cotton,495,6.9,13.4,4.8,0,dbfs:/Volumes/ecommerce/source_data/raw/products/products.csv,2026-09-09T23:34:48.167Z
2000000000503,PLCB-TOY-0001E,TOY,Toys & Games,PLCB,PlayCube,Green,One-Size,Glass,264,25.8,14.4,8.7,45,dbfs:/Volumes/ecommerce/source_data/raw/products/products.csv,2026-09-09T23:34:48.167Z
2000000000510,DLHV-GRC-0001F,GRCY,Grocery,DLHV,DailyHarvest,Silver,One-Size,Rubber,254,28.8,3.5,12.6,0,dbfs:/Volumes/ecommerce/source_data/raw/products/products.csv,2026-09-09T23:34:48.167Z
2000000000527,CSNV-HNK-0001G,HNK,Home & Kitchen,CSNV,CasaNova,Gray,One-Size,Plastic,206,17.8,2,7.8,1,dbfs:/Volumes/ecommerce/source_data/raw/products/products.csv,2026-09-09T23:34:48.167Z
2000000000534,NOVW-CE-0001H,CE,Electronics,NOVW,NovaWave,Yellow,One-Size,Rubber,273,14.6,12.7,5.7,5,dbfs:/Volumes/ecommerce/source_data/raw/products/products.csv,2026-09-09T23:34:48.167Z
2000000000541,STCR-HNK-0001I,HNK,Home & Kitchen,STCR,SteelCraft,Pink,One-Size,Cotton,38,28.7,18.2,1.8,1,dbfs:/Volumes/ecommerce/source_data/raw/products/products.csv,2026-09-09T23:34:48.167Z
2000000000558,ZNTH-CE-0001J,CE,Electronics,ZNTH,Zenith,Green,One-Size,Leather,142,19.3,12.1,5.9,0,dbfs:/Volumes/ecommerce/source_data/raw/products/products.csv,2026-09-09T23:34:48.167Z
2000000000565,CBLT-APP-0001K,APP,Apparel,CBLT,CobaltWear,Green,XS,Steel,402,23.6,10.2,11.5,0,dbfs:/Volumes/ecommerce/source_data/raw/products/products.csv,2026-09-09T23:34:48.167Z
