dt,order_ts,customer_id,order_id,item_seq,product_id,quantity,unit_price_currency,unit_price,discount_pct,tax_amount,channel,coupon_code,file_name,ingest_timestamp,processed_time
2025-08-01,2025-08-01T06:27:03.000Z,CUST000000043065,643621,1,2000000160061,1,INR,3344,6,379,Website,prime5,dbfs:/Volumes/ecommerce/source_data/raw/order_items/landing/order_items_2025-08-01.csv,2026-09-10T00:05:14.305Z,2026-09-10T00:15:25.825Z
2025-08-01,2025-08-01T21:07:10.000Z,CUST000000074149,643636,3,2000000225067,1,INR,6298,18,259,Website,null,dbfs:/Volumes/ecommerce/source_data/raw/order_items/landing/order_items_2025-08-01.csv,2026-09-10T00:05:14.305Z,2026-09-10T00:15:25.825Z
2025-08-01,2025-08-01T13:15:18.000Z,CUST000000146421,643647,1,2000000343594,1,USD,22,22,3,Mobile,null,dbfs:/Volumes/ecommerce/source_data/raw/order_items/landing/order_items_2025-08-01.csv,2026-09-10T00:05:14.305Z,2026-09-10T00:15:25.825Z
2025-08-01,2025-08-01T15:07:20.000Z,CUST000000030247,643653,1,2000000478913,1,INR,6244,3,1094,Mobile,null,dbfs:/Volumes/ecommerce/source_data/raw/order_items/landing/order_items_2025-08-01.csv,2026-09-10T00:05:14.305Z,2026-09-10T00:15:25.825Z
2025-08-01,2025-08-01T03:04:24.000Z,CUST000000093993,643658,1,2000000127804,1,USD,60,10,7,Mobile,null,dbfs:/Volumes/ecommerce/source_data/raw/order_items/landing/order_items_2025-08-01.csv,2026-09-10T00:05:14.305Z,2026-09-10T00:15:25.825Z
2025-08-01,2025-08-01T19:51:29.000Z,CUST000000154154,643669,2,2000000058986,1,INR,1040,25,95,Website,null,dbfs:/Volumes/ecommerce/source_data/raw/order_items/landing/order_items_2025-08-01.csv,2026-09-10T00:05:14.305Z,2026-09-10T00:15:25.825Z
2025-08-01,2025-08-01T02:12:31.000Z,CUST000000187150,643678,1,2000000250731,1,INR,2673,0,482,Website,null,dbfs:/Volumes/ecommerce/source_data/raw/order_items/landing/order_items_2025-08-01.csv,2026-09-10T00:05:14.305Z,2026-09-10T00:15:25.825Z
2025-08-01,2025-08-01T02:12:31.000Z,CUST000000187150,643678,2,2000000367095,1,INR,72286,6,8179,Website,null,dbfs:/Volumes/ecommerce/source_data/raw/order_items/landing/order_items_2025-08-01.csv,2026-09-10T00:05:14.305Z,2026-09-10T00:15:25.825Z
2025-08-01,2025-08-01T18:45:58.000Z,CUST000000126777,643688,4,2000000107721,3,AED,39,6,14,Website,prime5,dbfs:/Volumes/ecommerce/source_data/raw/order_items/landing/order_items_2025-08-01.csv,2026-09-10T00:05:14.305Z,2026-09-10T00:15:25.825Z
2025-08-01,2025-08-01T19:58:37.000Z,CUST000000216676,643696,2,2000000402604,1,INR,77408,14,8009,Mobile,new10,dbfs:/Volumes/ecommerce/source_data/raw/order_items/landing/order_items_2025-08-01.csv,2026-09-10T00:05:14.305Z,2026-09-10T00:15:25.825Z
2025-08-01,2025-08-01T22:45:08.000Z,CUST000000062105,643697,4,2000000192895,1,INR,2374,17,355,Website,prime5,dbfs:/Volumes/ecommerce/source_data/raw/order_items/landing/order_items_2025-08-01.csv,2026-09-10T00:05:14.305Z,2026-09-10T00:15:25.825Z
2025-08-01,2025-08-01T09:43:27.000Z,CUST000000153992,643724,2,2000000297750,1,CAD,777,11,84,Mobile,new10,dbfs:/Volumes/ecommerce/source_data/raw/order_items/landing/order_items_2025-08-01.csv,2026-09-10T00:05:14.305Z,2026-09-10T00:15:25.825Z
2025-08-01,2025-08-01T03:54:57.000Z,CUST000000004780,643727,1,2000000166742,2,INR,40836,4,9426,Mobile,new10,dbfs:/Volumes/ecommerce/source_data/raw/order_items/landing/order_items_2025-08-01.csv,2026-09-10T00:05:14.305Z,2026-09-10T00:15:25.825Z
2025-08-01,2025-08-01T07:51:15.000Z,CUST000000083784,643732,2,2000000126630,1,INR,73597,2,13043,Website,null,dbfs:/Volumes/ecommerce/source_data/raw/order_items/landing/order_items_2025-08-01.csv,2026-09-10T00:05:14.305Z,2026-09-10T00:15:25.825Z
2025-08-01,2025-08-01T18:52:31.000Z,CUST000000077296,643739,2,2000000009605,2,USD,35,0,4,Mobile,null,dbfs:/Volumes/ecommerce/source_data/raw/order_items/landing/order_items_2025-08-01.csv,2026-09-10T00:05:14.305Z,2026-09-10T00:15:25.825Z
2025-08-01,2025-08-01T10:06:51.000Z,CUST000000052690,643743,1,2000000257006,2,USD,258,18,77,Website,null,dbfs:/Volumes/ecommerce/source_data/raw/order_items/landing/order_items_2025-08-01.csv,2026-09-10T00:05:14.305Z,2026-09-10T00:15:25.825Z
2025-08-01,2025-08-01T17:15:17.000Z,CUST000000037787,643750,1,2000000384955,1,INR,59982,15,9172,Website,new10,dbfs:/Volumes/ecommerce/source_data/raw/order_items/landing/order_items_2025-08-01.csv,2026-09-10T00:05:14.305Z,2026-09-10T00:15:25.825Z
2025-08-01,2025-08-01T00:32:14.000Z,CUST000000266493,643765,2,2000000284996,1,INR,410,8,19,Website,null,dbfs:/Volumes/ecommerce/source_data/raw/order_items/landing/order_items_2025-08-01.csv,2026-09-10T00:05:14.305Z,2026-09-10T00:15:25.825Z
2025-08-01,2025-08-01T13:42:03.000Z,CUST000000221017,643780,1,2000000192512,2,INR,4368,27,319,Website,new10,dbfs:/Volumes/ecommerce/source_data/raw/order_items/landing/order_items_2025-08-01.csv,2026-09-10T00:05:14.305Z,2026-09-10T00:15:25.825Z
2025-08-01,2025-08-01T20:31:02.000Z,CUST000000068479,643795,1,2000000167107,1,INR,13930,6,1565,Website,null,dbfs:/Volumes/ecommerce/source_data/raw/order_items/landing/order_items_2025-08-01.csv,2026-09-10T00:05:14.305Z,2026-09-10T00:15:25.825Z
2025-08-01,2025-08-01T17:17:19.000Z,CUST000000048280,643796,1,2000000460598,1,GBP,53,6,3,Website,null,dbfs:/Volumes/ecommerce/source_data/raw/order_items/landing/order_items_2025-08-01.csv,2026-09-10T00:05:14.305Z,2026-09-10T00:15:25.825Z
2025-08-01,2025-08-01T13:08:42.000Z,CUST000000191813,643813,1,2000000396026,2,USD,103,13,22,Website,null,dbfs:/Volumes/ecommerce/source_data/raw/order_items/landing/order_items_2025-08-01.csv,2026-09-10T00:05:14.305Z,2026-09-10T00:15:25.825Z
2025-08-01,2025-08-01T05:05:44.000Z,CUST000000259182,643815,1,2000000417301,1,INR,32116,0,1606,Website,null,dbfs:/Volumes/ecommerce/source_data/raw/order_items/landing/order_items_2025-08-01.csv,2026-09-10T00:05:14.305Z,2026-09-10T00:15:25.825Z
2025-08-01,2025-08-01T19:57:44.000Z,CUST000000116614,643818,1,2000000433950,2,INR,2614,27,459,Website,null,dbfs:/Volumes/ecommerce/source_data/raw/order_items/landing/order_items_2025-08-01.csv,2026-09-10T00:05:14.305Z,2026-09-10T00:15:25.825Z
2025-08-01,2025-08-01T06:14:16.000Z,CUST000000069228,643829,2,2000000103235,1,AED,65,16,3,Website,fest20,dbfs:/Volumes/ecommerce/source_data/raw/order_items/landing/order_items_2025-08-01.csv,2026-09-10T00:05:14.305Z,2026-09-10T00:15:25.825Z
2025-08-01,2025-08-01T10:21:20.000Z,CUST000000173437,643875,1,2000000220697,1,GBP,5,11,1,Website,null,dbfs:/Volumes/ecommerce/source_data/raw/order_items/landing/order_items_2025-08-01.csv,2026-09-10T00:05:14.305Z,2026-09-10T00:15:25.825Z
2025-08-01,2025-08-01T05:00:43.000Z,CUST000000113438,643876,2,2000000420387,1,INR,987,4,172,Website,new10,dbfs:/Volumes/ecommerce/source_data/raw/order_items/landing/order_items_2025-08-01.csv,2026-09-10T00:05:14.305Z,2026-09-10T00:15:25.825Z
2025-08-01,2025-08-01T11:22:47.000Z,CUST000000174201,643890,1,2000000357942,1,INR,502,6,57,Website,null,dbfs:/Volumes/ecommerce/source_data/raw/order_items/landing/order_items_2025-08-01.csv,2026-09-10T00:05:14.305Z,2026-09-10T00:15:25.825Z
2025-08-01,2025-08-01T11:46:57.000Z,CUST000000183028,643900,1,2000000016115,2,INR,16136,6,3633,Mobile,null,dbfs:/Volumes/ecommerce/source_data/raw/order_items/landing/order_items_2025-08-01.csv,2026-09-10T00:05:14.305Z,2026-09-10T00:15:25.825Z
2025-08-01,2025-08-01T03:29:14.000Z,CUST000000185297,643903,2,2000000398068,1,AED,3646,19,529,Website,null,dbfs:/Volumes/ecommerce/source_data/raw/order_items/landing/order_items_2025-08-01.csv,2026-09-10T00:05:14.305Z,2026-09-10T00:15:25.825Z
2025-08-01,2025-08-01T14:53:45.000Z,CUST000000221649,643913,2,2000000062495,1,USD,24,14,2,Website,fest20,dbfs:/Volumes/ecommerce/source_data/raw/order_items/landing/order_items_2025-08-01.csv,2026-09-10T00:05:14.305Z,2026-09-10T00:15:25.825Z
2025-08-01,2025-08-01T04:11:20.000Z,CUST000000022448,643922,3,2000000084527,1,INR,3733,3,435,Mobile,null,dbfs:/Volumes/ecommerce/source_data/raw/order_items/landing/order_items_2025-08-01.csv,2026-09-10T00:05:14.305Z,2026-09-10T00:15:25.825Z
